dateObj	totalMsgsMiniMongoObj	totalMsgsDomObj	JSHeapUsedSize	totalDomNodes
21/11/2019 05:19:27	0	0	28426536	5857
21/11/2019 05:20:27	30	12	36031224	6012
21/11/2019 05:21:27	68	13	26321728	5778
21/11/2019 05:22:27	106	12	26562368	6046
21/11/2019 05:23:27	144	12	27189232	5852
21/11/2019 05:24:27	182	13	27108744	5775
21/11/2019 05:25:27	218	12	30410416	5642
21/11/2019 05:26:27	256	12	38611024	5857
21/11/2019 05:27:27	294	12	26923352	5625
21/11/2019 05:28:27	332	12	32404688	5739
21/11/2019 05:29:27	368	12	35391880	5744
21/11/2019 05:30:27	406	12	32317792	5742
21/11/2019 05:31:28	444	12	28812376	5627
21/11/2019 05:32:28	482	12	43187112	5817
21/11/2019 05:33:28	519	12	30735952	5736
