dateObj	totalMsgsMiniMongoObj	totalMsgsDomObj	JSHeapUsedSize	totalDomNodes
21/11/2019 05:19:27	0	0	28562144	5857
21/11/2019 05:20:30	32	7	30145112	10927
21/11/2019 05:21:32	70	8	32907200	5597
21/11/2019 05:22:34	110	7	43106624	6717
21/11/2019 05:23:36	148	7	59468120	7881
21/11/2019 05:24:38	188	7	85606184	9724
21/11/2019 05:25:41	228	7	32881416	11172
21/11/2019 05:26:43	266	7	31022896	11123
21/11/2019 05:27:46	306	7	33593584	11130
21/11/2019 05:28:48	344	7	36382112	11123
21/11/2019 05:29:52	384	7	39269304	11155
21/11/2019 05:30:54	422	7	57499768	7422
21/11/2019 05:31:57	462	7	59590928	7420
21/11/2019 05:32:59	501	7	60323560	6755
21/11/2019 05:34:01	540	7	82774664	7862
