dateObj	totalMsgsMiniMongoObj	totalMsgsDomObj	JSHeapUsedSize	totalDomNodes
24/11/2019 04:55:22	4265	13	175069216	5818
24/11/2019 04:56:23	4301	13	190330168	5862
24/11/2019 04:57:26	4318	13	119947408	5845
24/11/2019 04:58:27	4335	13	50408696	5842
24/11/2019 04:59:31	4357	13	87317600	5846
24/11/2019 05:00:34	4376	13	125561392	5841
24/11/2019 05:01:38	4395	13	141970272	5841
24/11/2019 05:02:39	4413	13	86759648	5839
24/11/2019 05:03:40	4430	13	49529416	5856
24/11/2019 05:04:41	4450	13	150084328	5816
24/11/2019 05:05:43	4470	13	86601720	5813
24/11/2019 05:06:44	4486	13	51717248	5844
24/11/2019 05:07:49	4521	13	175222224	5843
24/11/2019 05:09:03	4548	13	50244608	5844
24/11/2019 05:10:08	4567	13	160187656	5869
24/11/2019 05:11:18	4582	13	132102432	5815
24/11/2019 05:12:21	4601	13	97316032	5845
24/11/2019 05:13:27	4621	13	47483112	5844
24/11/2019 05:14:30	4638	13	147342592	5867
24/11/2019 05:15:34	4653	13	96994040	5865
24/11/2019 05:16:39	4669	13	53472160	5844
24/11/2019 05:17:44	4689	13	142301632	5841
24/11/2019 05:18:53	4707	13	115734488	5814
24/11/2019 05:19:59	4737	13	89948992	5841
24/11/2019 05:21:10	4756	13	52808504	5818
24/11/2019 05:22:13	4773	13	136027768	5815
24/11/2019 05:23:16	4792	13	82290840	5838
24/11/2019 05:24:20	4807	13	168991376	5843
24/11/2019 05:25:25	4823	13	162233120	5842
24/11/2019 05:26:26	4839	13	81086344	5838
24/11/2019 05:27:30	4856	13	166821088	5816
24/11/2019 05:28:32	4871	13	96284168	5818
24/11/2019 05:29:36	4910	13	55939648	5844
24/11/2019 05:30:50	4926	13	189715024	5870
24/11/2019 05:31:56	4939	13	121164584	5814
24/11/2019 05:32:58	4953	13	58238264	5846
24/11/2019 05:33:59	4973	13	128597768	5815
24/11/2019 05:35:07	4991	13	174447680	5844
24/11/2019 05:36:11	5006	13	96835392	5818
24/11/2019 05:37:17	5022	13	102591768	5813
24/11/2019 05:38:19	5035	13	171400280	5816
24/11/2019 05:39:26	5056	13	184928120	5852
24/11/2019 05:40:30	5068	13	99063512	5842
24/11/2019 05:41:31	5084	13	196448640	5843
