dateObj	totalMsgsMiniMongoObj	totalMsgsDomObj	JSHeapUsedSize	totalDomNodes
24/11/2019 03:01:59	1	1	27501096	6102
24/11/2019 03:03:17	127	11	30502136	7146
24/11/2019 03:04:34	251	10	45042672	7016
24/11/2019 03:05:52	366	12	40607624	7174
24/11/2019 03:07:12	479	11	36214488	5830
24/11/2019 03:08:34	590	11	32111192	5796
24/11/2019 03:09:54	699	12	51907312	7119
24/11/2019 03:11:15	788	11	56024144	7148
24/11/2019 03:12:38	878	11	74445336	7148
24/11/2019 03:14:02	972	11	46798904	6884
24/11/2019 03:15:22	1047	11	58681656	7139
24/11/2019 03:16:38	1113	7	31786488	6179
24/11/2019 03:18:06	1198	12	81604080	7169
24/11/2019 03:19:34	1264	12	48837152	5882
24/11/2019 03:21:00	1335	11	79911168	7210
24/11/2019 03:22:30	1406	12	51868272	11259
24/11/2019 03:24:00	1481	12	50747608	11260
24/11/2019 03:25:31	1547	11	58233736	10929
24/11/2019 03:27:00	1609	11	50195600	11014
24/11/2019 03:28:31	1677	11	51372112	11514
24/11/2019 03:29:55	1739	11	78790592	11606
24/11/2019 03:31:29	1797	10	62365536	11179
24/11/2019 03:33:04	1863	11	61662784	11446
24/11/2019 03:34:37	1929	11	68703320	11353
24/11/2019 03:36:11	2004	11	65017408	11350
24/11/2019 03:37:48	2068	12	64527088	11528
24/11/2019 03:39:27	2134	12	77547408	11145
24/11/2019 03:41:05	2201	11	74924016	10989
24/11/2019 03:42:47	2272	11	103321464	11434
24/11/2019 03:44:27	2339	11	86132912	10970
24/11/2019 03:46:03	2395	12	68257624	5870
24/11/2019 03:47:42	2451	12	67420816	11081
24/11/2019 03:49:21	2506	12	63133696	11129
24/11/2019 03:51:00	2568	11	46496016	5804
24/11/2019 03:52:38	2623	12	74340904	11390
24/11/2019 03:54:22	2688	11	107673024	11356
24/11/2019 03:55:47	2735	7	67133928	11341
24/11/2019 03:57:37	2789	11	120839608	11261
24/11/2019 03:59:21	2846	10	101970776	6287
24/11/2019 04:00:59	2898	9	67997032	6879
24/11/2019 04:02:41	2936	11	113405896	7034
24/11/2019 04:04:33	2984	12	43365472	6805
24/11/2019 04:06:28	3028	12	57649160	6680
24/11/2019 04:08:23	3077	11	111869784	6733
24/11/2019 04:10:06	3125	12	129635144	6989
24/11/2019 04:12:05	3195	11	50485368	6288
24/11/2019 04:13:52	3242	12	98867808	6381
24/11/2019 04:15:40	3285	11	120745144	7009
24/11/2019 04:17:22	3328	9	98344328	7083
24/11/2019 04:19:04	3365	11	127398168	7080
24/11/2019 04:20:57	3408	11	54541760	6351
24/11/2019 04:22:53	3464	11	48286520	7233
24/11/2019 04:24:40	3524	12	136086672	7131
24/11/2019 04:26:37	3573	12	77174032	6348
24/11/2019 04:28:29	3611	12	54478192	7183
24/11/2019 04:30:14	3669	11	144714184	7081
24/11/2019 04:32:11	3718	12	169919704	11599
24/11/2019 04:33:59	3755	9	93711096	6285
24/11/2019 04:35:56	3796	12	75642192	6678
24/11/2019 04:37:40	3850	11	85864880	6400
24/11/2019 04:39:37	3883	11	59027848	6664
24/11/2019 04:41:33	3940	11	232333800	7973
24/11/2019 04:43:31	4000	12	86974768	6378
24/11/2019 04:45:20	4039	11	118730288	6956
24/11/2019 04:47:24	4092	11	51702928	6676
24/11/2019 04:49:08	4123	11	122030928	7020
24/11/2019 04:50:59	4160	11	171003488	7157
24/11/2019 04:52:53	4198	12	110188368	6335
24/11/2019 04:54:40	4253	9	119921352	7046
24/11/2019 04:56:39	4305	12	64750792	7087
24/11/2019 04:58:43	4339	11	173874632	6006
24/11/2019 05:00:30	4375	11	156872544	7178
24/11/2019 05:02:45	4413	11	94704040	5994
24/11/2019 05:04:42	4450	12	90172488	6423
24/11/2019 05:06:35	4484	11	127349432	7090
24/11/2019 05:08:32	4533	11	151273336	7134
24/11/2019 05:10:27	4569	11	146819808	7033
24/11/2019 05:12:27	4604	12	178181584	11534
24/11/2019 05:14:41	4640	12	115009120	6272
24/11/2019 05:16:41	4670	12	86204984	6650
24/11/2019 05:18:38	4702	12	155379192	7099
24/11/2019 05:20:59	4750	11	90011472	5855
24/11/2019 05:23:11	4788	11	113370960	6659
24/11/2019 05:25:16	4821	12	89498856	6708
24/11/2019 05:27:15	4851	11	160680888	7126
24/11/2019 05:29:09	4881	9	149772296	6993
24/11/2019 05:31:13	4929	10	57393280	7043
24/11/2019 05:33:23	4960	11	118859440	7067
24/11/2019 05:35:23	4993	9	82816328	10902
24/11/2019 05:37:14	5022	11	95838760	6325
24/11/2019 05:39:19	5051	11	164048104	7135
24/11/2019 05:41:25	5079	11	181542672	7040
24/11/2019 05:43:32	5113	10	98052984	6406
24/11/2019 05:45:30	5144	9	58039216	6835
24/11/2019 05:47:32	5176	12	61293856	6699
24/11/2019 05:49:44	5209	12	89052152	6849
24/11/2019 05:52:15	5244	12	74161992	5846
24/11/2019 05:54:37	5278	12	67008824	5874
24/11/2019 05:57:03	5311	12	56617560	5902
24/11/2019 05:59:19	5339	11	126644240	6486
24/11/2019 06:01:35	5373	11	99657568	6670
24/11/2019 06:03:50	5404	12	95091296	6488
24/11/2019 06:05:46	5430	9	153941688	7087
24/11/2019 06:07:55	5455	10	96457112	6378
24/11/2019 06:10:11	5489	11	93708216	6305
24/11/2019 06:12:21	5519	9	67207360	6755
24/11/2019 06:14:41	5545	11	158765128	6799
24/11/2019 06:17:08	5575	11	158669120	6445
