dateObj	totalMsgsMiniMongoObj	totalMsgsDomObj	JSHeapUsedSize	totalDomNodes
24/11/2019 06:19:31	5624	11	136747112	6995
24/11/2019 06:21:40	5653	10	176717224	7113
24/11/2019 06:23:43	5678	11	182484152	7135
24/11/2019 06:25:53	5715	12	106526128	7135
24/11/2019 06:27:56	5781	11	149380520	7105
24/11/2019 06:30:04	5814	10	66344240	6743
24/11/2019 06:32:24	5841	11	131285592	6894
24/11/2019 06:34:31	5868	10	65212392	6784
24/11/2019 06:36:36	5894	11	155934872	7070
24/11/2019 06:38:59	5927	10	108720048	5800
24/11/2019 06:41:06	5954	12	102897312	6920
24/11/2019 06:43:31	5990	12	109402464	6741
24/11/2019 06:45:43	6028	12	109620048	6799
24/11/2019 06:47:42	6050	9	157518840	6972
24/11/2019 06:49:58	6077	11	114090376	6766
24/11/2019 06:52:11	6107	9	67222808	6244
24/11/2019 06:54:45	6140	12	167217384	6769
24/11/2019 06:57:22	6168	11	74599112	5842
24/11/2019 07:00:26	6292	11	109600208	6672
