dateObj	totalMsgsMiniMongoObj	totalMsgsDomObj	JSHeapUsedSize	totalDomNodes
24/11/2019 11:15:03	0	0	25009240	5783
24/11/2019 11:16:03	44	44	30165320	6304
24/11/2019 11:17:03	96	96	31745032	7451
24/11/2019 11:18:03	150	150	28626576	8561
24/11/2019 11:19:03	202	202	38747456	9590
24/11/2019 11:20:03	253	253	29144088	10369
24/11/2019 11:21:03	303	303	33319568	11470
24/11/2019 11:22:03	348	348	40312776	12299
24/11/2019 11:23:03	393	393	34829384	13187
24/11/2019 11:24:03	438	438	52375816	14196
24/11/2019 11:25:03	483	483	80553200	15180
24/11/2019 11:26:04	526	526	68725240	15897
24/11/2019 11:27:04	568	568	52444552	16696
24/11/2019 11:28:04	610	610	40359824	17493
24/11/2019 11:29:04	651	651	65179792	18392
24/11/2019 11:30:04	691	691	100496968	19257
24/11/2019 11:31:04	729	729	48592736	19893
24/11/2019 11:32:04	767	767	87148824	20730
24/11/2019 11:33:04	804	804	124734040	21565
24/11/2019 11:34:04	840	840	76113640	22161
24/11/2019 11:35:04	875	875	66127352	22929
24/11/2019 11:36:04	909	909	39330640	23483
24/11/2019 11:37:04	942	942	109281472	24379
24/11/2019 11:38:04	975	975	77206288	24933
24/11/2019 11:39:04	1007	1007	115330512	25692
24/11/2019 11:40:04	1039	1039	60483624	26094
24/11/2019 11:41:05	1070	1070	111647976	26877
24/11/2019 11:42:05	1101	1101	53345024	27339
24/11/2019 11:43:06	1127	1127	80419504	27858
24/11/2019 11:44:07	1150	1150	92725568	28435
24/11/2019 11:45:08	1175	1175	60381872	28823
24/11/2019 11:46:08	1201	1201	91057392	29431
24/11/2019 11:47:09	1226	1226	58972032	29876
24/11/2019 11:48:09	1251	1251	83275136	30504
24/11/2019 11:49:09	1278	1278	113707384	31063
24/11/2019 11:50:10	1305	1305	146719736	31618
24/11/2019 11:51:10	1332	1332	77661536	31996
24/11/2019 11:52:11	1359	1358	115817328	32614
24/11/2019 11:53:13	1386	1386	51363592	33011
24/11/2019 11:54:15	1412	1412	102185896	33622
24/11/2019 11:55:15	1438	1438	147286048	34207
24/11/2019 11:56:15	1463	1463	65249432	34559
24/11/2019 11:57:16	1487	1487	94812304	35119
24/11/2019 11:58:16	1512	1512	149712800	35775
24/11/2019 11:59:18	1536	1536	47065568	36186
24/11/2019 12:00:19	1556	1556	63549272	36413
24/11/2019 12:01:19	1580	1580	92806024	36964
