dateObj	totalMsgsMiniMongoObj	totalMsgsDomObj	JSHeapUsedSize	totalDomNodes
24/11/2019 11:15:03	0	0	25101808	5783
24/11/2019 11:16:15	54	54	25465976	11297
24/11/2019 11:17:26	117	117	40469736	10714
24/11/2019 11:18:41	183	183	28346240	14066
24/11/2019 11:19:55	246	246	60975288	15550
24/11/2019 11:21:13	309	309	76053648	23067
24/11/2019 11:22:33	369	369	87462216	24318
24/11/2019 11:23:55	432	432	97080640	25654
24/11/2019 11:25:19	492	492	84456168	26901
24/11/2019 11:26:46	555	555	100451808	28218
24/11/2019 11:28:14	615	617	104492752	29540
24/11/2019 11:29:45	677	677	102766256	30796
24/11/2019 11:31:18	737	738	109602648	32076
24/11/2019 11:32:56	798	798	125348088	33319
24/11/2019 11:34:35	857	857	116433352	34568
24/11/2019 11:36:15	915	915	116776912	35802
24/11/2019 11:37:59	970	970	168981504	54898
24/11/2019 11:39:44	1026	1026	127137392	38117
24/11/2019 11:41:36	1084	1084	74358152	27013
24/11/2019 11:43:45	1138	1138	74040648	28527
24/11/2019 11:45:54	1192	1192	60435672	29138
24/11/2019 11:48:01	1246	1246	83379400	30216
24/11/2019 11:50:04	1299	1299	65584816	31730
24/11/2019 11:52:07	1354	1354	69930408	32389
24/11/2019 11:54:11	1408	1408	60427976	33413
24/11/2019 11:56:24	1464	1464	102262720	34627
24/11/2019 11:58:36	1517	1517	56927448	35588
24/11/2019 12:00:58	1570	1570	95132576	36699
24/11/2019 12:03:14	1622	1622	83343696	38164
24/11/2019 12:05:35	1676	1676	131694384	39272
24/11/2019 12:07:50	1726	1726	102703968	40257
24/11/2019 12:10:14	1779	1779	137651624	41409
24/11/2019 12:12:36	1828	1828	101108064	42310
24/11/2019 12:15:10	1879	1879	110224248	42884
24/11/2019 12:17:38	1929	1929	142300032	44393
24/11/2019 12:20:10	1981	1981	138920968	45410
24/11/2019 12:22:44	2021	2021	101149712	46223
24/11/2019 12:25:12	2074	2074	125896328	47283
24/11/2019 12:27:49	2116	2116	104439384	47637
24/11/2019 12:30:30	2162	2162	160820304	49064
24/11/2019 12:33:07	2206	2206	130303976	49444
24/11/2019 12:35:48	2250	2250	153900848	50810
24/11/2019 12:38:29	2294	2294	134898968	51805
24/11/2019 12:41:14	2345	2345	121705936	52155
24/11/2019 12:43:57	2389	2389	140795816	53549
24/11/2019 12:46:48	2425	2425	143150432	54432
24/11/2019 12:49:38	2469	2469	166461272	55305
24/11/2019 12:52:28	2511	2511	238387352	101287
24/11/2019 12:55:19	2553	2553	165997168	61270
24/11/2019 12:58:14	2595	2595	180366784	57851
24/11/2019 01:01:08	2636	2636	161679512	58197
24/11/2019 01:04:05	2677	2677	195302480	59489
24/11/2019 01:07:07	2719	2719	212634936	60173
24/11/2019 01:10:09	2761	2761	162340888	60993
24/11/2019 01:13:12	2802	2802	207081656	62007
24/11/2019 01:16:20	2841	2841	180552096	62631
24/11/2019 01:19:21	2882	2882	168562920	63440
24/11/2019 01:22:27	2921	2921	189051032	63784
24/11/2019 01:25:39	2960	2960	211251216	65147
24/11/2019 01:28:48	3001	3001	170208888	65927
24/11/2019 01:31:56	3041	3041	153244808	66551
24/11/2019 01:35:05	3079	3079	175592888	67335
24/11/2019 01:38:24	3117	3117	175311392	68109
24/11/2019 01:41:36	3159	3159	176720448	68949
24/11/2019 01:44:56	3198	3198	188403432	69878
24/11/2019 01:48:14	3238	3238	180942304	70531
24/11/2019 01:51:35	3273	3273	191412224	71372
24/11/2019 01:55:06	3311	3311	204530440	72124
24/11/2019 01:58:38	3350	3350	209436256	72899
24/11/2019 02:02:06	3388	3388	208083240	73088
24/11/2019 02:05:44	3422	3422	209343184	74203
24/11/2019 02:09:15	3463	3463	189845136	75002
24/11/2019 02:12:55	3498	3498	325405984	138957
24/11/2019 02:16:32	3534	3534	320682224	140370
24/11/2019 02:20:03	3573	3573	176300200	76897
24/11/2019 02:23:31	3609	3609	355177232	143091
24/11/2019 02:27:05	3645	3645	224900504	78696
24/11/2019 02:30:41	3683	3683	231177592	79439
24/11/2019 02:34:16	3719	3719	249454824	80187
24/11/2019 02:37:54	3755	3755	213706824	80848
24/11/2019 02:41:35	3791	3791	209576768	81576
24/11/2019 02:45:26	3825	3825	227932952	82268
24/11/2019 02:49:12	3861	3861	241354648	82986
24/11/2019 02:52:57	3896	3896	184168368	83658
24/11/2019 02:56:44	3930	3930	214842080	84355
24/11/2019 03:00:29	3964	3964	208887304	85149
24/11/2019 03:04:10	3998	3998	350656632	157816
24/11/2019 03:08:07	4031	4031	248705880	86400
24/11/2019 03:12:01	4065	4065	241571568	87039
