dateObj	totalMsgsMiniMongoObj	totalMsgsDomObj	JSHeapUsedSize	totalDomNodes
21/11/2019 03:13:24	0	0	21929824	901
21/11/2019 03:14:24	75	75	25606728	6896
21/11/2019 03:15:24	170	170	32645768	8795
21/11/2019 03:16:24	261	261	27994688	10542
21/11/2019 03:17:24	353	353	25890152	12478
21/11/2019 03:18:24	445	445	36281752	14281
21/11/2019 03:19:24	530	530	40077224	15960
21/11/2019 03:20:24	615	615	68800576	17741
21/11/2019 03:21:24	700	700	66845392	19409
21/11/2019 03:22:24	781	781	122219920	21134
21/11/2019 03:23:25	861	861	35544440	22750
21/11/2019 03:24:25	938	938	47535768	24118
21/11/2019 03:25:25	1013	1013	90716640	25661
21/11/2019 03:26:25	1086	1086	80530952	27109
21/11/2019 03:27:25	1157	1157	56674880	28499
