dateObj	domDurationObj	totalMsgsMiniMongoObj	totalMsgsObj	Nodes	JSHeapUsedSize
19/11/2019 04:12:39	0,018	1	1	6025	23490904
19/11/2019 04:13:39	0,041	73	73	7854	52331008
19/11/2019 04:14:39	0,005	140	140	8330	31326304
19/11/2019 04:15:39	0,005	201	201	9555	35682488
19/11/2019 04:16:39	0,003	260	260	10709	30131120
19/11/2019 04:17:39	0,005	317	316	11845	37809928
19/11/2019 04:18:40	0,004	369	369	12903	38396504
19/11/2019 04:19:40	0,004	419	419	13904	47167672
19/11/2019 04:20:40	0,003	469	469	14887	31373448
19/11/2019 04:21:40	0,036	516	516	15852	66051688
19/11/2019 04:22:40	0,003	559	559	16718	61119072
19/11/2019 04:23:41	0,312	602	600	17588	73429192
19/11/2019 04:24:42	0,129	645	644	18457	93733928
19/11/2019 04:25:44	0,319	682	682	19177	69680472
19/11/2019 04:26:44	0,004	718	718	19983	107707488
19/11/2019 04:27:44	0,004	755	755	20595	40218768
19/11/2019 04:28:45	0,325	790	789	21286	36679712
19/11/2019 04:29:46	0,004	826	826	22087	112802432
19/11/2019 04:30:46	0,004	857	857	22677	61176920
19/11/2019 04:31:47	0,489	888	888	23337	138605792
19/11/2019 04:32:48	0,359	918	918	23930	109232424
19/11/2019 04:33:49	0,136	948	948	24471	52402344
19/11/2019 04:34:49	0,385	977	977	25117	130468928
19/11/2019 04:35:50	0,032	1005	1005	25635	41808360
19/11/2019 04:36:51	1,003	1035	1034	26195	60605208
19/11/2019 04:37:53	0,007	1060	1060	26719	56836176
19/11/2019 04:38:54	0,365	1087	1087	27293	65205872
19/11/2019 04:39:55	0,630	1111	1111	27803	143101032
19/11/2019 04:40:56	0,348	1136	1136	28277	66597264
19/11/2019 04:41:56	0,004	1159	1159	28713	75601088
19/11/2019 04:42:57	0,354	1183	1182	29224	130802456
19/11/2019 04:44:00	0,005	1206	1206	29671	45619504
19/11/2019 04:45:02	0,816	1229	1229	30206	46271408
19/11/2019 04:46:02	0,005	1251	1251	30627	47250824
19/11/2019 04:47:04	0,430	1272	1272	31119	154587408
19/11/2019 04:48:05	0,005	1294	1294	31481	154408968
19/11/2019 04:49:06	0,028	1315	1315	31863	54635784
19/11/2019 04:50:07	0,006	1336	1336	32353	166283728
19/11/2019 04:51:07	0,005	1356	1356	32714	126766840
19/11/2019 04:52:08	0,006	1376	1376	33113	122904696
19/11/2019 04:53:08	0,005	1396	1396	33518	129310120
19/11/2019 04:54:08	0,010	1416	1416	33918	125212432
19/11/2019 04:55:11	1,134	1435	1434	34301	107955256
19/11/2019 04:56:13	0,006	1452	1452	34685	102059128
19/11/2019 04:57:14	0,293	1471	1470	35013	94346384
19/11/2019 04:58:18	1,145	1490	1490	35383	61910640
19/11/2019 04:59:20	1,223	1509	1509	35781	117477640
19/11/2019 05:00:21	0,007	1525	1525	36095	92667544
19/11/2019 05:01:24	0,138	1544	1544	36501	76766880
19/11/2019 05:02:26	0,897	1562	1562	36885	68746704
19/11/2019 05:03:27	0,006	1579	1579	37197	57367088
19/11/2019 05:04:27	0,014	1596	1596	37563	139011184
19/11/2019 05:05:29	0,611	1614	1614	37922	121175936
19/11/2019 05:06:35	2,041	1632	1631	38271	79434584
19/11/2019 05:07:39	0,866	1648	1648	38563	66783496
19/11/2019 05:08:41	0,554	1665	1665	38954	145629976
19/11/2019 05:09:43	0,677	1682	1682	39315	132362672
19/11/2019 05:10:44	0,007	1696	1696	39629	147727360
19/11/2019 05:11:45	0,007	1713	1713	39913	136651928
19/11/2019 05:12:46	0,803	1727	1727	40211	82753360
19/11/2019 05:13:49	0,006	1742	1742	40528	144631944
19/11/2019 05:13:58	0,802	1745	1744	40949	164098400
19/11/2019 05:14:49	0,026	1755	1755	40803	88420832
19/11/2019 05:15:01	0,006	1758	1758	40728	248537168
19/11/2019 05:15:52	1,206	1771	1771	41068	72059720
19/11/2019 05:16:02	0,005	1772	1772	40967	140524824
19/11/2019 05:16:54	0,852	1784	1784	41383	162770496
19/11/2019 05:17:04	0,912	1788	1788	41303	160216288
19/11/2019 05:17:56	1,040	1799	1799	41671	127125416
19/11/2019 05:18:04	0,005	1801	1801	41619	278775944
19/11/2019 05:19:00	0,134	1815	1814	41984	79355000
19/11/2019 05:19:07	1,270	1817	1817	41918	154494568
19/11/2019 05:20:02	0,018	1828	1828	42300	195614144
19/11/2019 05:20:09	0,811	1830	1830	42133	81665616
19/11/2019 05:21:05	0,738	1842	1842	42503	102352344
19/11/2019 05:21:10	0,006	1843	1843	42448	188022264
19/11/2019 05:22:06	0,006	1856	1856	42784	96107248
19/11/2019 05:22:11	0,004	1857	1857	42738	112229224
19/11/2019 05:23:07	0,817	1870	1870	43065	84484424
19/11/2019 05:23:12	0,007	1871	1871	43075	220829152
19/11/2019 05:24:08	0,037	1881	1881	43285	85557024
19/11/2019 05:24:12	0,006	1884	1882	43193	125576840
19/11/2019 05:25:09	0,006	1895	1895	43622	195238384
19/11/2019 05:25:15	0,099	1897	1897	43551	236319104
19/11/2019 05:26:13	0,690	1910	1910	43914	153943992
19/11/2019 05:26:18	1,083	1911	1911	43763	69887712
19/11/2019 05:27:14	0,007	1921	1921	44147	104847376
19/11/2019 05:27:20	0,188	1922	1922	43987	69456728
19/11/2019 05:28:16	0,604	1935	1934	44462	193235288
19/11/2019 05:28:21	0,099	1935	1935	44247	82007352
19/11/2019 05:29:20	1,045	1947	1947	44659	160797552
19/11/2019 05:29:24	0,976	1948	1948	44537	79971744
19/11/2019 05:30:22	0,148	1960	1960	44911	124820752
19/11/2019 05:30:27	1,261	1961	1961	44771	77741176
19/11/2019 05:31:23	0,016	1972	1972	45186	151168104
19/11/2019 05:31:33	1,951	1974	1974	45059	77746760
19/11/2019 05:32:24	0,007	1984	1984	45361	98412024
19/11/2019 05:32:34	0,081	1986	1986	45277	81875840
19/11/2019 05:33:25	0,049	1996	1996	45655	204008800
19/11/2019 05:33:35	0,062	1997	1997	45525	86215760
19/11/2019 05:34:27	0,481	2007	2007	45865	153715632
19/11/2019 05:34:39	0,985	2009	2009	45737	75370024
19/11/2019 05:35:29	0,503	2019	2019	46121	102866832
19/11/2019 05:35:41	0,050	2022	2022	45999	77308736
19/11/2019 05:36:35	1,839	2033	2032	46437	65226384
19/11/2019 05:36:42	0,236	2035	2035	46265	92465400
19/11/2019 05:37:39	0,055	2045	2045	46637	182153384
19/11/2019 05:37:44	0,648	2047	2047	46505	85763296
19/11/2019 05:38:43	1,878	2058	2058	46887	112840296
19/11/2019 05:38:45	0,057	2058	2058	46727	87620048
19/11/2019 05:39:47	0,344	2070	2070	46969	71676856
19/11/2019 05:39:47	1,603	2070	2070	47115	65219856
19/11/2019 05:40:48	0,165	2081	2081	47193	94953064
19/11/2019 05:40:48	0,008	2081	2081	47414	172366624
19/11/2019 05:41:49	0,089	2093	2093	47433	73961128
19/11/2019 05:41:50	0,677	2093	2093	47619	127799752
19/11/2019 05:42:53	0,900	2106	2104	47826	69200488
19/11/2019 05:42:53	1,292	2106	2104	47655	78507464
19/11/2019 05:43:59	1,353	2117	2117	47919	91879056
19/11/2019 05:43:59	2,084	2117	2117	48114	172260760
19/11/2019 05:45:01	0,051	2127	2127	48119	72937096
19/11/2019 05:45:01	0,007	2127	2127	48275	105995648
19/11/2019 05:46:03	1,236	2138	2138	48341	81788792
19/11/2019 05:46:04	0,944	2138	2138	48547	207780320
19/11/2019 05:47:04	0,173	2149	2149	48589	88713248
19/11/2019 05:47:05	0,062	2149	2149	48725	145555584
19/11/2019 05:48:05	0,067	2160	2160	48785	73172904
19/11/2019 05:48:06	0,009	2160	2160	48961	96109960
19/11/2019 05:49:06	0,012	2171	2171	49021	97625168
19/11/2019 05:49:10	1,957	2172	2172	49255	210272880
19/11/2019 05:50:10	1,959	2182	2182	49231	90815224
19/11/2019 05:50:11	0,006	2182	2182	49390	138534488
19/11/2019 05:51:11	0,197	2192	2192	49431	87086728
19/11/2019 05:51:12	0,088	2192	2192	49549	66948280
19/11/2019 05:52:12	0,062	2202	2202	49631	81221904
19/11/2019 05:52:14	0,220	2202	2202	49777	68153328
19/11/2019 05:53:13	0,006	2212	2212	49810	78525632
19/11/2019 05:53:18	1,865	2213	2213	50027	70371184
19/11/2019 05:54:18	1,484	2223	2223	50029	79667768
19/11/2019 05:54:21	0,083	2224	2223	50199	60650336
19/11/2019 05:55:19	0,223	2233	2233	50261	98873584
19/11/2019 05:55:25	1,306	2234	2234	50399	70066616
19/11/2019 05:56:20	0,007	2244	2244	50481	80366024
19/11/2019 05:56:27	0,159	2244	2244	50603	83288696
19/11/2019 05:57:22	0,008	2254	2254	50685	99632680
19/11/2019 05:57:32	0,809	2254	2254	50803	55364176
19/11/2019 05:58:23	0,261	2264	2264	50883	80665384
19/11/2019 05:58:33	0,007	2264	2264	51031	75480152
19/11/2019 05:59:25	0,020	2274	2274	51062	91359552
19/11/2019 05:59:34	0,167	2274	2274	51207	60516808
19/11/2019 06:00:26	0,075	2284	2284	51289	80293776
19/11/2019 06:00:35	0,049	2284	2284	51437	58394328
19/11/2019 06:01:27	0,006	2294	2294	51520	78672672
19/11/2019 06:01:39	0,009	2294	2294	51637	71211640
19/11/2019 06:02:31	0,638	2304	2304	51719	74232816
19/11/2019 06:02:40	0,039	2305	2304	51861	83475960
19/11/2019 06:03:32	0,006	2314	2314	51923	83630600
19/11/2019 06:03:44	0,169	2315	2315	52059	71077968
19/11/2019 06:04:34	0,070	2324	2324	52123	82124704
19/11/2019 06:04:45	0,055	2325	2325	52239	79595920
19/11/2019 06:05:37	1,186	2334	2334	52327	74448760
19/11/2019 06:05:48	1,720	2335	2335	52469	76271672
19/11/2019 06:06:43	1,929	2343	2343	52453	82115272
19/11/2019 06:06:54	2,411	2345	2345	52615	67365128
19/11/2019 06:07:47	1,100	2352	2352	52639	99769784
19/11/2019 06:07:55	0,092	2353	2353	52803	81768488
19/11/2019 06:08:49	0,065	2360	2360	52827	103285424
19/11/2019 06:08:56	0,092	2361	2361	52991	82280000
19/11/2019 06:09:50	0,085	2369	2369	53048	83906416
19/11/2019 06:09:58	0,181	2371	2370	53147	66506664
19/11/2019 06:10:54	1,759	2378	2378	53191	98261712
19/11/2019 06:11:06	1,679	2380	2380	53349	71552912
19/11/2019 06:11:56	1,602	2387	2387	53371	92728232
19/11/2019 06:12:09	1,496	2390	2390	53575	71902536
19/11/2019 06:12:58	0,049	2396	2396	53553	70350296
19/11/2019 06:13:15	2,978	2399	2398	53713	72569088
19/11/2019 06:14:03	2,702	2405	2405	53763	91820776
19/11/2019 06:14:24	2,160	2407	2407	53895	78682232
19/11/2019 06:15:04	0,015	2402	2402	54303	170945592
19/11/2019 06:15:04	0,057	2412	2412	53849	68881872
19/11/2019 06:15:26	0,240	2415	2415	54085	77433808
19/11/2019 06:16:05	0,007	2419	2419	54248	257438800
19/11/2019 06:16:05	0,006	2419	2419	54021	80111320
19/11/2019 06:16:31	1,784	2423	2423	54301	74280512
19/11/2019 06:17:09	1,540	2428	2428	54187	288408960
19/11/2019 06:17:10	1,875	2428	2428	54257	91673008
19/11/2019 06:17:41	5,264	2432	2432	54455	61145336
19/11/2019 06:18:10	0,008	2436	2436	54345	236217760
19/11/2019 06:18:13	0,060	2436	2436	54363	69616328
19/11/2019 06:18:43	0,216	2441	2440	54589	57378776
19/11/2019 06:19:14	1,709	2444	2444	54551	313512104
19/11/2019 06:19:15	0,444	2445	2444	54525	84868320
19/11/2019 06:19:49	0,078	2448	2448	54779	69647936
19/11/2019 06:20:16	0,008	2452	2452	54671	146693568
19/11/2019 06:20:22	1,372	2453	2453	54709	85497304
19/11/2019 06:20:55	3,204	2458	2458	54955	73404984
19/11/2019 06:21:18	0,317	2460	2460	54795	80535072
19/11/2019 06:21:29	1,009	2462	2462	54917	92586480
19/11/2019 06:22:03	1,999	2468	2466	55184	80863536
19/11/2019 06:22:20	0,013	2469	2469	55021	173398768
19/11/2019 06:22:37	3,216	2471	2471	55097	85511464
19/11/2019 06:23:07	2,494	2477	2477	55315	83414088
19/11/2019 06:23:21	0,008	2478	2478	55159	84875064
19/11/2019 06:23:39	0,007	2479	2479	55289	88503136
19/11/2019 06:24:13	1,722	2484	2484	55479	74008184
19/11/2019 06:24:23	0,137	2487	2486	55297	102617536
19/11/2019 06:24:45	2,554	2489	2489	55461	85453352
19/11/2019 06:25:22	6,348	2492	2492	55667	74229760
19/11/2019 06:25:29	0,236	2492	2492	55457	90898896
19/11/2019 06:25:53	1,516	2497	2496	55603	84348840
19/11/2019 06:26:23	0,009	2499	2499	55837	73155744
19/11/2019 06:26:32	0,360	2500	2500	55593	91153688
19/11/2019 06:26:58	0,008	2503	2503	55773	81408952
19/11/2019 06:27:25	0,289	2507	2507	55947	84431240
19/11/2019 06:27:42	2,502	2509	2509	55775	75273048
19/11/2019 06:28:00	0,140	2510	2510	55889	71233440
19/11/2019 06:28:27	0,011	2514	2514	56115	75078856
19/11/2019 06:28:46	1,658	2517	2517	56017	75103344
19/11/2019 06:29:04	2,134	2519	2519	56073	97291232
19/11/2019 06:29:29	0,191	2522	2522	56249	68330336
19/11/2019 06:29:48	0,008	2524	2524	56079	76122336
19/11/2019 06:30:08	1,228	2528	2527	56233	96465440
19/11/2019 06:30:36	1,621	2530	2530	56469	74809920
19/11/2019 06:30:53	1,956	2533	2532	56317	103021128
19/11/2019 06:31:16	1,495	2536	2536	56439	83917768
19/11/2019 06:31:42	2,566	2540	2539	56675	87646704
19/11/2019 06:31:55	0,008	2540	2540	56405	86869128
19/11/2019 06:32:19	0,420	2544	2543	56579	96960192
19/11/2019 06:32:52	1,013	2548	2547	56803	81078880
19/11/2019 06:32:56	0,007	2548	2548	56621	113191088
19/11/2019 06:33:26	0,495	2551	2551	56743	86726312
19/11/2019 06:33:53	0,072	2555	2555	56891	59235744
19/11/2019 06:33:59	1,364	2556	2556	56731	112166744
19/11/2019 06:34:27	0,080	2560	2560	56873	76634184
